2B,3B,AB,BBA,BB,BPF,CG,CS,Color B,Color G,Color R,DP,Div Win,ERA,ER,E,FP,Franchise ID,G,Ghome,HA,HBP,HRA,HR,H,I Pouts,L,Lg Win,Number of Records,PPF,RA,R,Rank,SB,SF,SHO,SOA,SO,SV,WC Win,WS Win,W,Attendance,Div ID,Franch ID,Lg ID,Name,Park,Team IDBR,Team ID,teamIDlahman45,Team I Dretro,Year ID
269,29,5501,591,536,95,18,93,25,72,255,149,N,3.33,540,143,0.977,SFG,162,81,1264,,121,114,1394,4380,79,N,1,95,618,698,3,148,,10,992,1087,35,,N,83,1528748,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1986
216,48,5378,485,568,100,17,78,65,17,205,178,N,3.37,549,123,0.981,STL,161,81,1364,,135,58,1270,4398,82,N,1,99,611,601,3,262,,4,761,905,46,,N,79,2471974,E,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1986
248,43,5529,736,511,102,15,85,115,44,0,160,N,4.11,662,120,0.98,TEX,162,81,1356,,145,184,1479,4350,75,N,1,103,743,771,2,103,,8,1059,1088,41,,N,87,1692002,W,TEX,AL,Texas Rangers,Arlington Stadium,TEX,TEX,TEX,TEX,1986
285,35,5716,487,496,103,16,59,191,118,4,150,N,4.08,669,100,0.984,TOR,163,81,1467,,164,181,1540,4428,76,N,1,102,733,809,4,110,,12,1002,848,44,,N,86,2455477,E,TOR,AL,Toronto Blue Jays,Exhibition Stadium,TOR,TOR,TOR,TOR,1986
284,24,5428,587,641,104,16,68,65,17,207,170,N,4.63,734,116,0.982,ATL,161,81,1529,,163,152,1401,4281,92,N,1,106,829,747,5,135,,4,837,834,32,,N,69,1217402,W,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1987
219,20,5576,547,524,97,17,45,1,70,223,174,N,5.01,801,109,0.982,BAL,162,82,1555,,226,211,1437,4317,95,N,1,98,880,729,6,69,,6,870,939,30,,N,67,1835692,E,BAL,AL,Baltimore Orioles,Memorial Stadium,BAL,BAL,BAL,BAL,1987
273,26,5586,517,606,103,47,45,48,12,198,158,N,4.77,761,110,0.982,BOS,162,80,1584,,190,174,1554,4308,84,N,1,102,825,842,5,77,,13,1034,825,16,,N,78,2231551,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1987
257,26,5570,504,590,97,20,44,32,0,185,162,N,4.38,709,117,0.981,ANA,162,81,1481,,212,172,1406,4371,87,N,1,97,803,770,6,125,,7,941,926,36,,N,75,2696299,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1987
283,36,5538,537,487,103,29,52,0,0,0,174,N,4.3,691,115,0.981,CHW,162,81,1436,,189,173,1427,4341,85,N,1,103,746,748,5,138,,12,792,971,37,,N,77,1208060,W,CHW,AL,Chicago White Sox,Comiskey Park,CHW,CHA,CHA,CHA,1987
244,33,5583,628,504,103,11,48,134,51,12,154,N,4.55,725,130,0.979,CHC,161,80,1524,,159,209,1475,4302,85,N,1,104,801,720,6,109,,5,1024,1064,48,,N,76,2035130,E,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1987
262,29,5560,485,514,104,7,46,31,1,198,137,N,4.24,684,128,0.979,CIN,162,81,1486,,170,192,1478,4356,78,N,1,103,752,783,2,169,,6,919,928,44,,N,84,2185205,W,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1987
267,30,5606,606,489,100,24,54,59,8,215,128,N,5.28,834,152,0.975,CLE,162,81,1566,,219,187,1476,4266,101,N,1,101,957,742,7,140,,8,849,977,25,,N,61,1077898,E,CLE,AL,Cleveland Indians,Cleveland Stadium,CLE,CLE,CLE,CLE,1987
274,32,5649,563,653,96,33,50,67,35,6,147,Y,4.02,650,122,0.98,DET,162,81,1430,,180,225,1535,4368,64,N,1,95,735,896,1,106,,10,976,913,31,,N,98,2061830,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1987
238,28,5485,525,526,96,13,46,42,73,214,113,N,3.84,615,115,0.981,HOU,162,81,1363,,141,122,1386,4323,86,N,1,96,678,648,3,162,,13,1137,936,33,,N,76,1909902,W,HOU,NL,Houston Astros,Astrodome,HOU,HOU,HOU,HOU,1987
239,40,5499,548,523,102,44,43,116,44,0,151,N,3.86,611,131,0.979,KCR,162,81,1424,,128,168,1443,4272,79,N,1,102,691,715,2,125,,11,923,1034,26,,N,83,2392471,W,KCR,AL,Kansas City Royals,Royals Stadium,KCR,KCA,KCA,KCA,1987
236,23,5517,565,445,98,29,59,117,58,34,144,N,3.72,601,155,0.975,LAD,162,81,1415,,130,125,1389,4365,89,N,1,98,675,635,4,128,,8,1097,923,32,,N,73,2797409,W,LAD,NL,Los Angeles Dodgers,Dodger Stadium,LAD,LAN,LAN,LAN,1987
258,35,5441,564,523,103,16,65,52,18,180,147,Y,4.63,734,98,0.984,MIN,162,81,1465,,210,196,1422,4281,77,Y,1,103,806,786,1,113,,4,990,898,39,,Y,85,2081976,W,MIN,AL,Minnesota Twins,Hubert H Humphrey Metrodome,MIN,MIN,MIN,MIN,1987
272,46,5625,529,598,103,28,74,72,43,22,155,N,4.62,752,145,0.976,MIL,162,81,1548,,169,163,1552,4392,71,N,1,103,817,862,3,176,,6,1039,1040,45,,N,91,1909244,E,MIL,AL,Milwaukee Brewers,County Stadium,MIL,ML4,MIL,MIL,1987
310,39,5527,446,501,103,16,74,43,18,186,122,N,3.92,632,147,0.976,WSN,162,81,1428,,145,120,1467,4350,71,N,1,103,720,741,3,166,,8,1012,918,50,,N,91,1850324,E,WSN,NL,Montreal Expos,Stade Olympique,MON,MON,MON,MON,1987
239,16,5511,542,604,99,19,43,67,28,0,155,N,4.36,701,102,0.983,NYY,162,81,1475,,179,196,1445,4338,73,N,1,99,758,788,4,105,,10,900,949,47,,N,89,2427672,E,NYY,AL,New York Yankees,Yankee Stadium II,NYY,NYA,NYA,NYA,1987
287,34,5601,510,592,95,16,49,0,74,255,137,N,3.84,620,137,0.978,NYM,162,81,1407,,135,192,1499,4362,70,N,1,93,698,823,2,159,,7,1032,1012,51,,N,92,3034129,E,NYM,NL,New York Mets,Shea Stadium,NYM,NYN,NYN,NYN,1987
263,33,5511,531,593,93,18,63,30,178,239,122,N,4.32,694,142,0.977,OAK,162,81,1442,,176,199,1432,4335,81,N,1,93,789,806,3,140,,6,1042,1056,40,,N,81,1678921,W,OAK,AL,Oakland Athletics,Oakland Coliseum,OAK,OAK,OAK,OAK,1987
248,51,5475,587,587,103,13,49,68,18,212,137,N,4.18,673,121,0.98,PHI,162,81,1453,,167,169,1390,4344,82,N,1,104,749,702,4,111,,7,877,1109,48,,N,80,2100110,E,PHI,NL,Philadelphia Phillies,Veterans Stadium,PHI,PHI,PHI,PHI,1987
282,45,5536,562,535,100,25,58,39,184,252,147,N,4.2,674,123,0.98,PIT,162,81,1377,,164,131,1464,4335,82,N,1,100,744,723,4,140,,13,914,914,39,,N,80,1161193,E,PIT,NL,Pittsburgh Pirates,Three Rivers Stadium,PIT,PIT,PIT,PIT,1987
209,48,5456,602,577,96,14,91,97,44,4,135,N,4.27,680,146,0.976,SDP,162,81,1402,,175,113,1419,4299,97,N,1,97,763,668,6,198,,10,897,992,33,,N,65,1454061,W,SDP,NL,San Diego Padres,Jack Murphy Stadium,SDP,SDN,SDN,SDN,1987
282,48,5508,497,500,105,39,73,92,91,0,150,N,4.49,713,121,0.98,SEA,162,81,1503,,199,161,1499,4290,84,N,1,106,801,760,4,174,,10,919,863,33,,N,78,1134255,W,SEA,AL,Seattle Mariners,Kingdome,SEA,SEA,SEA,SEA,1987
274,32,5608,547,511,96,19,97,25,72,255,183,Y,3.68,601,129,0.98,SFG,162,81,1407,,146,205,1458,4413,72,N,1,95,669,783,1,126,,10,1038,1094,38,,N,90,1917168,W,SFG,NL,San Francisco Giants,Candlestick Park,SFG,SFN,SFN,SFN,1987
252,49,5500,533,644,102,10,72,65,17,205,172,Y,3.91,637,116,0.982,STL,162,81,1484,,129,94,1449,4398,67,Y,1,102,693,798,1,248,,7,873,933,48,,N,95,3072122,E,STL,NL,St. Louis Cardinals,Busch Stadium II,STL,SLN,SLN,SLN,1987
264,35,5564,760,567,100,20,71,115,44,0,148,N,4.63,743,148,0.976,TEX,162,81,1388,,199,194,1478,4332,87,N,1,101,849,823,6,120,,3,1103,1081,27,,N,75,1763053,W,TEX,AL,Texas Rangers,Arlington Stadium,TEX,TEX,TEX,TEX,1987
277,38,5635,567,555,102,18,50,191,118,4,148,N,3.74,604,111,0.982,TOR,162,81,1323,,158,215,1514,4362,66,N,1,101,655,845,2,126,,8,1064,970,43,,N,96,2778429,E,TOR,AL,Toronto Blue Jays,Exhibition Stadium,TOR,TOR,TOR,TOR,1987
228,28,5440,524,432,104,14,69,65,17,207,138,N,4.09,657,151,0.976,ATL,160,79,1481,,108,96,1319,4338,106,N,1,106,741,555,6,95,,4,810,848,25,,N,54,848089,W,ATL,NL,Atlanta Braves,Atlanta-Fulton County Stadium,ATL,ATL,ATL,ATL,1988
199,20,5358,523,504,97,20,44,1,70,223,172,N,4.54,714,118,0.981,BAL,161,80,1506,,153,137,1275,4248,107,N,1,98,789,550,7,69,,7,709,869,26,,N,54,1660738,E,BAL,AL,Baltimore Orioles,Memorial Stadium,BAL,BAL,BAL,BAL,1988
310,39,5545,493,623,105,26,36,48,12,198,123,Y,3.97,629,93,0.984,BOS,162,81,1415,,143,124,1569,4278,73,N,1,104,689,813,1,65,,14,1085,728,37,,N,89,2464851,E,BOS,AL,Boston Red Sox,Fenway Park II,BOS,BOS,BOS,BOS,1988
258,31,5582,568,469,97,26,52,32,0,185,175,N,4.32,698,135,0.979,ANA,162,81,1503,,135,124,1458,4365,87,N,1,97,771,714,4,86,,9,817,819,33,,N,75,2340925,W,ANA,AL,California Angels,Anaheim Stadium,CAL,CAL,CAL,CAL,1988
224,35,5449,533,446,100,11,46,0,0,0,177,N,4.12,659,154,0.976,CHW,161,81,1467,,138,132,1327,4317,90,N,1,100,757,631,5,98,,9,754,908,43,,N,71,1115749,W,CHW,AL,Chicago White Sox,Comiskey Park,CHW,CHA,CHA,CHA,1988
262,46,5675,490,403,105,30,46,134,51,12,128,N,3.84,625,125,0.98,CHC,163,82,1494,,115,113,1481,4392,85,N,1,105,694,660,4,120,,10,897,910,29,,N,77,2089034,E,CHC,NL,Chicago Cubs,Wrigley Field,CHC,CHN,CHN,CHN,1988
246,25,5426,504,479,104,24,56,31,1,198,131,N,3.35,542,121,0.98,CIN,161,80,1271,,121,122,1334,4365,74,N,1,104,596,641,2,207,,13,934,922,43,,N,87,2072528,W,CIN,NL,Cincinnati Reds,Riverfront Stadium,CIN,CIN,CIN,CIN,1988
235,28,5505,442,416,102,35,50,59,8,215,131,N,4.16,663,124,0.98,CLE,162,81,1501,,120,134,1435,4302,84,N,1,103,731,666,6,97,,10,812,866,46,,N,78,1411610,E,CLE,AL,Cleveland Indians,Cleveland Stadium,CLE,CLE,CLE,CLE,1988
213,28,5433,497,588,97,34,42,67,35,6,129,N,3.71,596,109,0.982,DET,162,81,1361,,150,143,1358,4335,74,N,1,97,658,703,2,87,,8,890,841,36,,N,88,2081162,E,DET,AL,Detroit Tigers,Tiger Stadium,DET,DET,DET,DET,1988
