Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,HOU,NL,Dave,David Stanley,Smith,smithda02,smithda02,HOU,,HOU,1986
1,LAD,NL,Fernando,Fernando,Valenzuela,valenfe01,valenfe01,LAN,,LAN,1986
1,KCR,AL,Bret,Bret William,Saberhagen,saberbr01,saberbr01,KCA,1,KCA,1987
1,BAL,AL,Terry,Terrance Edward,Kennedy,kennete02,kennete02,BAL,2,BAL,1987
1,NYY,AL,Don,Donald Arthur,Mattingly,mattido01,mattido01,NYA,3,NYA,1987
1,NYY,AL,Willie,Willie Larry,Randolph,randowi01,randowi01,NYA,4,NYA,1987
1,BOS,AL,Wade,Wade Anthony,Boggs,boggswa01,boggswa01,BOS,5,BOS,1987
1,BAL,AL,Cal,Calvin Edwin,Ripken,ripkeca01,ripkeca01,BAL,6,BAL,1987
1,TOR,AL,George,George Antonio,Bell,bellge02,bellge02,TOR,7,TOR,1987
1,NYY,AL,Rickey,Rickey Nelson Henley,Henderson,henderi01,henderi01,NYA,8,NYA,1987
1,NYY,AL,Dave,David Mark,Winfield,winfida01,winfida01,NYA,9,NYA,1987
1,CHW,AL,Harold,Harold Douglas,Baines,baineha01,baineha01,CHA,,CHA,1987
1,KCR,AL,George,George Howard,Brett,brettge01,brettge01,KCA,,KCA,1987
1,BOS,AL,Dwight,Dwight Michael,Evans,evansdw01,evansdw01,BOS,,BOS,1987
1,TOR,AL,Tony,Octavio Antonio,Fernandez,fernato01,fernato01,TOR,,TOR,1987
1,TOR,AL,Tom,Thomas Anthony,Henke,henketo01,henketo01,TOR,,TOR,1987
1,OAK,AL,Jay,Jay Canfield,Howell,howelja01,howelja01,OAK,,OAK,1987
1,BOS,AL,Bruce,Bruce Vee,Hurst,hurstbr01,hurstbr01,BOS,,BOS,1987
1,SEA,AL,Mark,Mark Edward,Langston,langsma01,langsma01,SEA,,SEA,1987
1,OAK,AL,Mark,Mark David,McGwire,mcgwima01,mcgwima01,OAK,,OAK,1987
1,DET,AL,Jack,John Scott,Morris,morrija02,morrija02,DET,,DET,1987
1,DET,AL,Matt,Matthew Dodge,Nokes,nokesma01,nokesma01,DET,,DET,1987
1,TEX,AL,Larry,Larry Alton,Parrish,parrila01,parrila01,TEX,,TEX,1987
1,MIL,AL,Dan,Daniel Thomas,Plesac,plesada01,plesada01,ML4,,ML4,1987
1,MIN,AL,Kirby,Kirby,Puckett,puckeki01,puckeki01,MIN,,MIN,1987
1,SEA,AL,Harold,Harold Craig,Reynolds,reynoha01,reynoha01,SEA,,SEA,1987
1,NYY,AL,Dave,David Allan,Righetti,righeda01,righeda01,NYA,,NYA,1987
1,KCR,AL,Kevin,Kevin Lee,Seitzer,seitzke01,seitzke01,KCA,,KCA,1987
1,CLE,AL,Pat,Patrick Sean,Tabler,tablepa01,tablepa01,CLE,,CLE,1987
1,DET,AL,Alan,Alan Stuart,Trammell,trammal01,trammal01,DET,,DET,1987
1,DET,AL,Lou,Louis Rodman,Whitaker,whitalo01,whitalo01,DET,,DET,1987
1,ANA,AL,Mike,Michael Atwater,Witt,wittmi01,wittmi01,CAL,,CAL,1987
1,HOU,NL,Mike,Michael Warren,Scott,scottmi03,scottmi03,HOU,1,HOU,1987
1,NYM,NL,Gary,Gary Edmund,Carter,cartega01,cartega01,NYN,2,NYN,1987
1,STL,NL,Jack,Jack Anthony,Clark,clarkja01,clarkja01,SLN,3,SLN,1987
1,CHC,NL,Ryne,Ryne Dee,Sandberg,sandbry01,sandbry01,CHN,4,CHN,1987
1,PHI,NL,Mike,Michael Jack,Schmidt,schmimi01,schmimi01,PHI,5,PHI,1987
1,STL,NL,Ozzie,Osborne Earl,Smith,smithoz01,smithoz01,SLN,6,SLN,1987
1,CIN,NL,Eric,Eric Keith,Davis,daviser01,daviser01,CIN,7,CIN,1987
1,CHC,NL,Andre,Andre Nolan,Dawson,dawsoan01,dawsoan01,CHN,8,CHN,1987
1,NYM,NL,Darryl,Darryl Eugene,Strawberry,strawda01,strawda01,NYN,9,NYN,1987
1,PHI,NL,Steve,Stephen Wayne,Bedrosian,bedrost01,bedrost01,PHI,,PHI,1987
1,WSN,NL,Hubie,Hubert,Brooks,brookhu01,brookhu01,MON,,MON,1987
1,CIN,NL,Bo,Baudilio Jose,Diaz,diazbo01,diazbo01,CIN,,CIN,1987
1,NYM,NL,Sid,Charles Sidney,Fernandez,fernasi01,fernasi01,NYN,,NYN,1987
